+----+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+
| n  |                                                                                                                   Features                                                                                                                  | ccr  |
| 38 |                                               [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35]                                               | 0.99 |
| 39 |                                             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54]                                             | 0.99 |
| 40 |                                           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49]                                           | 0.99 |
| 41 |                                         [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48]                                         | 0.99 |
| 42 |                                       [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55]                                       | 0.99 |
| 43 |                                     [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40]                                     | 0.99 |
| 44 |                                   [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60]                                   | 0.99 |
| 45 |                                 [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27]                                 | 0.99 |
| 46 |                               [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59]                               | 0.99 |
| 47 |                             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61]                             | 0.99 |
| 48 |                           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32]                           | 0.99 |
| 49 |                         [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46]                         | 0.99 |
| 50 |                       [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39]                       | 0.99 |
| 51 |                     [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50]                     | 0.98 |
| 52 |                   [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25]                   | 0.98 |
| 53 |                 [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15]                 | 0.97 |
| 54 |               [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47]               | 0.97 |
| 55 |             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14]             | 0.97 |
| 56 |           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14, 31]           | 0.96 |
| 57 |         [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14, 31, 17]         | 0.95 |
| 58 |       [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14, 31, 17, 20]       | 0.93 |
| 59 |     [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14, 31, 17, 20, 36]     | 0.94 |
| 60 |   [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14, 31, 17, 20, 36, 56]   | 0.92 |
| 61 | [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49, 48, 55, 40, 60, 27, 59, 61, 32, 46, 39, 50, 25, 15, 47, 14, 31, 17, 20, 36, 56, 43] | 0.79 |
+----+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+
Maximum ccr is in row 37
